id,nickname,package_name,contract_type,granted_method,loan_amount_limit,deposit_duration,interest_rate,repayment_duration,loan_coefficient,credit_score,minimum_deposit_amount,maximum_deposit_amount,minimum_loan_amount,guarantee,receiving_channel
13,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,450,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
14,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,24,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
15,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,100,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
16,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
17,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,60,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
18,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,48,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
19,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,48,35,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
20,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,14,12,90,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
21,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,110,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
22,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,12,170,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
23,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
24,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,14,24,45,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
25,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,24,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
26,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,70,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
27,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,24,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
28,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
29,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
30,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,36,45,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
31,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,36,110,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
32,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,125,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
33,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,48,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
34,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,48,90,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری
35,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,1,23,12,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
36,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,12,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
37,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,300,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
38,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,24,55,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
39,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,60,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
40,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,36,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
41,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,36,35,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
42,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,18,12,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
43,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,100,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
44,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,12,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
45,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,450,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
46,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,24,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
47,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,100,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
48,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
49,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,60,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
50,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,48,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
51,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,48,35,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
52,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,14,12,90,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
53,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,110,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
54,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,12,170,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
55,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
56,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,14,24,45,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
57,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,24,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
58,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,70,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
59,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,24,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
60,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
61,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
62,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,36,45,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
63,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,36,110,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
64,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,125,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
65,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,48,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
66,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,48,90,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری
67,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,12,120,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
68,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,12,200,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
69,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,2,23,24,45,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
70,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,24,50,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
71,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,18,12,70,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
72,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,90,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
73,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,12,175,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
74,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,300,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
75,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,24,70,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
76,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,80,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
77,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,3,23,36,40,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
78,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,50,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
79,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,14,12,75,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
80,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,90,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
81,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,12,150,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
82,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,180,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
83,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,24,60,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
84,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,55,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
85,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,24,125,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
86,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,150,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
87,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,18,36,40,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
88,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,3000000000,6,23,36,90,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
89,شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,100,C,nan,15000000000,100000000,1,غیر حضوری/ حضوری
90,شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,12,110,D,nan,15000000000,100000000,1,حضوری
91,شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,24,45,D,nan,15000000000,100000000,1,حضوری
92,شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,36,30,D,nan,15000000000,100000000,1,حضوری
93,شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,24,100,D,nan,15000000000,100000000,1,حضوری
94,شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,36,70,D,nan,15000000000,100000000,1,حضوری
95,شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,12,110,E,nan,15000000000,100000000,1,حضوری
96,شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,24,45,E,nan,15000000000,100000000,1,حضوری
97,شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,36,30,E,nan,15000000000,100000000,1,حضوری
98,شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,24,100,E,nan,15000000000,100000000,1,حضوری
99,شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,36,70,E,nan,15000000000,100000000,1,حضوری
100,فرابانک,فرابانک,مرابحه,واریز به حساب,2000000000,3,23,36,1000,A,nan,nan,100000000,1,غیر حضوری
101,فرابانک,فرابانک,مرابحه,واریز به حساب,1500000000,3,23,36,1000,B,nan,nan,100000000,1,غیر حضوری
102,فرابانک,فرابانک,مرابحه,واریز به حساب,1000000000,3,23,36,1000,CN,nan,nan,100000000,1,غیر حضوری
103,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,A,nan,nan,300000000,1,غیر حضوری/ حضوری
104,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,A,nan,nan,300000000,1,غیر حضوری/ حضوری
105,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,A,nan,nan,300000000,1,غیر حضوری/ حضوری
106,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,A,nan,nan,300000000,1,غیر حضوری/ حضوری
107,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,A,nan,nan,300000000,1,غیر حضوری/ حضوری
108,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,A,nan,nan,300000000,1,غیر حضوری/ حضوری
109,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,A,nan,nan,300000000,1,غیر حضوری/ حضوری
110,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,A,nan,nan,300000000,1,غیر حضوری/ حضوری
111,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,A,nan,nan,300000000,1,غیر حضوری/ حضوری
112,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,A,nan,nan,300000000,1,غیر حضوری/ حضوری
113,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,A,nan,nan,300000000,1,غیر حضوری/ حضوری
114,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,A,nan,nan,300000000,1,غیر حضوری/ حضوری
115,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,A,nan,nan,300000000,1,غیر حضوری/ حضوری
116,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,A,nan,nan,300000000,1,غیر حضوری/ حضوری
117,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,A,nan,nan,300000000,1,غیر حضوری/ حضوری
118,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,A,nan,nan,300000000,1,غیر حضوری/ حضوری
119,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,A,nan,nan,300000000,1,غیر حضوری/ حضوری
120,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,A,nan,nan,300000000,1,غیر حضوری/ حضوری
121,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,A,nan,nan,300000000,1,غیر حضوری/ حضوری
122,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,B,nan,nan,300000000,1,غیر حضوری/ حضوری
123,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,B,nan,nan,300000000,1,غیر حضوری/ حضوری
124,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,B,nan,nan,300000000,1,غیر حضوری/ حضوری
125,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,B,nan,nan,300000000,1,غیر حضوری/ حضوری
126,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,B,nan,nan,300000000,1,غیر حضوری/ حضوری
127,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,B,nan,nan,300000000,1,غیر حضوری/ حضوری
128,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,B,nan,nan,300000000,1,غیر حضوری/ حضوری
129,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,B,nan,nan,300000000,1,غیر حضوری/ حضوری
130,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,B,nan,nan,300000000,1,غیر حضوری/ حضوری
131,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,B,nan,nan,300000000,1,غیر حضوری/ حضوری
132,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,B,nan,nan,300000000,1,غیر حضوری/ حضوری
133,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,B,nan,nan,300000000,1,غیر حضوری/ حضوری
134,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,B,nan,nan,300000000,1,غیر حضوری/ حضوری
135,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,B,nan,nan,300000000,1,غیر حضوری/ حضوری
136,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,B,nan,nan,300000000,1,غیر حضوری/ حضوری
137,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,B,nan,nan,300000000,1,غیر حضوری/ حضوری
138,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,B,nan,nan,300000000,1,غیر حضوری/ حضوری
139,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,B,nan,nan,300000000,1,غیر حضوری/ حضوری
140,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,B,nan,nan,300000000,1,غیر حضوری/ حضوری
141,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
142,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
143,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
144,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
145,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
146,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
147,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
148,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
149,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
150,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
151,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
152,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
153,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
154,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
155,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
156,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,12,320,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
157,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,24,160,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
158,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,36,110,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
159,نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,12,4,48,80,CN,nan,nan,300000000,1,غیر حضوری/ حضوری
160,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,2,23,12,120,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
161,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,2,23,12,200,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
162,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,2,23,24,45,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
163,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,2,23,24,50,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
164,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,3,18,12,70,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
165,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,3,18,12,90,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
166,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,3,23,12,175,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
167,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,3,23,12,300,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
168,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,3,23,24,70,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
169,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,3,23,24,80,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
170,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,3,23,36,40,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
171,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,3,23,36,50,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
172,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,14,12,75,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
173,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,6,14,12,90,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
174,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,18,12,150,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
175,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,6,18,12,180,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
176,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,18,24,60,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
177,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,6,18,24,55,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
178,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,23,24,125,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
179,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,6,23,24,150,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
180,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,18,36,40,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
181,شایان,شایان یک,مرابحه/جعاله,واریز به حساب,1000000000,6,23,36,90,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
182,شایان,شایان یک,مرابحه,کارت اعتباری,1000000000,6,23,36,100,N,nan,15000000000,100000000,1,غیر حضوری/ حضوری
