alias,package_name,contract_type,granted_method,loan_amount_limit,deposit_duration,interest_rate,repayment_duration,loan_coefficient,credit_score,minimum_deposit_amount,maximum_deposit_amount,minimum_loan_amount,guarantee,receiving_channel,account_type
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,2,23,36,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,36,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,2,23,36,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,36,35,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,2,23,36,35,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,18,12,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,18,12,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,18,12,70,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,18,12,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,18,12,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,18,12,70,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,100,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,100,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,18,12,90,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,12,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,12,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,12,175,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,12,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,12,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,12,175,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,450,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,450,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,12,300,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,24,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,24,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,24,70,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,24,80,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,24,80,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,24,70,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,100,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,100,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,24,80,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,36,40,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,36,40,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,60,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,60,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,36,50,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,48,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,48,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,48,30,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,48,30,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,48,35,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,3,23,48,35,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,14,12,90,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,14,12,90,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,14,12,75,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,14,12,90,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,14,12,90,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,14,12,75,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,110,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,110,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,14,12,90,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,12,170,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,12,170,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,12,150,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,12,170,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,12,170,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,12,150,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,12,180,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,14,24,45,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,14,24,45,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,14,24,45,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,14,24,45,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,24,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,24,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,24,60,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,24,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,24,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,24,60,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,70,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,70,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,24,55,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,24,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,24,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,24,125,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,24,150,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,24,150,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,24,125,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,200,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,200,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,24,150,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,18,36,40,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,36,50,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,36,50,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,18,36,40,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,36,45,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,18,36,45,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,36,110,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,36,110,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,36,90,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,36,110,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,36,110,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,36,90,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,125,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,125,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,36,100,C و فاقد رتبه,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,48,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,48,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,48,75,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,48,75,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,48,90,A,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,کارت اعتباری,3000000000,6,23,48,90,B,nan,15000000000,100000000,1,غیر حضوری/ حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,12,110,D,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,12,110,E,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,24,45,D,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,24,45,E,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,3,23,36,30,D,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,3,23,36,30,E,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,24,100,D,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,24,100,E,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,مرابحه,واریز به حساب,3000000000,6,23,36,70,D,nan,15000000000,100000000,1,حضوری,nan
شایان,شایان یک,جعاله,واریز به حساب,3000000000,6,23,36,70,E,nan,15000000000,100000000,1,حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,12,27,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,24,15,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,1,4,36,10,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,12,55,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,24,30,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,36,20,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,2,4,48,15,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,12,110,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,24,55,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,36,40,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,4,4,48,30,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,12,160,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,24,80,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,B,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,36,60,C و فاقد رتبه,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
نیک‌وام,نیک‌وام,قرض‌الحسنه,واریز به حساب,3000000000,6,4,48,45,A,nan,nan,300000000,1,غیر حضوری/ حضوری,nan
